session_id,started_at,ended_at,end_reason,total_cost_usd,input_tokens,output_tokens,cache_creation_tokens,cache_read_tokens,total_tokens,models,git_branch
7b0b47dd-85a3-4a82-ae9a-ad5c57912f96,2026-06-02T04:50:44.662Z,2026-06-02T05:00:44.690Z,backfill,0.953626,39,8192,37250,455268,500749,claude-sonnet-4-6,sf_businesscapability-13
0c1de949-e9bb-4044-8d61-d691dc7dbc20,2026-05-30T20:07:15.166Z,2026-05-30T23:11:26.076Z,backfill,5.135086,546,153785,722455,14374120,15250906,claude-sonnet-4-6,main
3b0d1f11-ec40-4ed2-b0c1-6b4d7f3f840c,2026-06-04T01:22:03.329Z,2026-06-04T03:03:36.245Z,other,0.864228,56,7310,178397,775633,961396,claude-opus-4-7,sf_businesscapability-32
86083ba1-7218-496b-9360-2d4aa34cb51d,2026-06-01T09:49:29.480Z,2026-06-01T09:59:58.552Z,backfill,0.499798,449,19946,92347,1070900,1183642,claude-sonnet-4-6,main
443b56ff-4419-4c7c-8d69-33e3e1380ba1,2026-06-03T04:32:08.963Z,2026-06-03T04:32:35.516Z,backfill,ERROR,0,0,0,0,0,,main
5c0cadde-b0bb-4546-b235-a8c0bd4b22f2,2026-05-29T07:27:23.857Z,2026-05-29T07:27:56.438Z,backfill,0.096795,13,1069,45367,149807,196256,claude-sonnet-4-6,main
d51d6157-e7ec-4fad-b55f-19ce9e48eca1,2026-05-25T03:04:30.608Z,2026-05-25T03:09:14.674Z,backfill,0.230591,13256,5665,63012,556407,638340,claude-sonnet-4-6,main
147c8e7c-a635-4454-83f9-52ee2013a226,2026-06-03T09:47:11.817Z,2026-06-03T10:07:03.011Z,backfill,4.973451,1636,63250,552516,10336924,10954326,claude-opus-4-7,sf_businesscapability-31
ada680ae-8767-4d12-84dc-4a481105998f,2026-06-02T08:58:23.709Z,2026-06-02T09:15:37.216Z,backfill,2.193797,110,22239,155930,4400190,4578469,claude-opus-4-7,main
ddc250b4-d88f-4478-8cd0-1aa09a6c9b87,2026-06-03T09:17:47.139Z,2026-06-03T09:18:05.130Z,backfill,0.091917,20,2168,43364,84684,130236,claude-opus-4-7,sf_businesscapability-30
cd1515d9-0daf-4a09-9703-01638852c7d7,2026-05-25T03:59:54.759Z,2026-05-25T09:20:35.288Z,backfill,4.515768,6787,83118,1064581,9145753,10300239,claude-sonnet-4-6,main
db14df6d-6717-403d-9e54-8c142d12afda,2026-06-03T06:29:43.801Z,2026-06-03T06:30:28.724Z,backfill,0.184965,23,2329,60077,194212,256641,claude-opus-4-7,sf_businesscapability-29
e267402d-7d87-46e8-9348-464c74d13cfa,2026-06-03T05:06:16.287Z,2026-06-03T06:15:46.956Z,backfill,4.468909,22476,57599,627255,7882671,8590001,claude-opus-4-7,sf_businesscapability-29
f5e60f4a-f342-4b1b-ac5c-4533f64cf68f,2026-06-02T09:00:25.432Z,2026-06-02T09:04:31.121Z,backfill,0.445031,51,8412,48608,538229,595300,claude-opus-4-7,sf_businesscapability-6
5612605e-9737-48b3-9424-88691c150f5f,2026-05-29T07:10:20.469Z,2026-05-29T07:18:38.713Z,backfill,0.489537,54,31141,119862,1741959,1893016,claude-sonnet-4-6,main
94b13dba-9cab-4fe6-9025-0c90567e4a99,2026-05-31T06:30:09.285Z,2026-05-31T07:10:31.535Z,backfill,1.938361,167,104776,249056,4531949,4885948,claude-sonnet-4-6,main
6874f184-60a6-4848-af87-ca5d74c490e2,2026-06-02T04:43:54.320Z,2026-06-02T05:17:53.271Z,backfill,0.502849,72,8321,105164,1259224,1372781,claude-sonnet-4-6,main
56df5469-c85b-42e3-83c6-980379f97096,2026-05-27T03:50:13.134Z,2026-05-27T04:54:08.838Z,backfill,6.127533,2351,130571,1389498,14370294,15892714,claude-sonnet-4-6,main
b6ffc7e7-6a7c-4ced-a328-4770c693e8d3,2026-05-30T07:09:08.103Z,2026-05-30T07:09:50.832Z,backfill,0.131941,10,2306,56686,55630,114632,claude-sonnet-4-6,main
09fabb38-f902-449a-8cbe-6e91bc9b7313,2026-06-02T03:25:30.526Z,2026-06-02T03:33:12.892Z,backfill,0.828946,48,8376,142998,869899,1021321,claude-opus-4-7,main
ecdf99bf-05ce-45c8-80cc-7e48e1e002df,2026-05-29T00:52:11.015Z,2026-05-29T01:03:34.932Z,backfill,0.543840,2110,17897,277486,1171376,1468869,claude-sonnet-4-6,main
90ce09ff-aa2d-40a6-bc51-182ae7ed5b6d,2026-05-30T10:53:07.698Z,2026-05-30T10:54:11.092Z,backfill,0.164246,1375,3117,41640,441396,487528,claude-sonnet-4-6,main
09f0be5f-e9c3-4b49-9b6f-ea0858b15cdc,2026-05-30T09:02:00.042Z,2026-05-30T09:03:40.029Z,backfill,0.103741,21,1981,19192,235544,256738,claude-sonnet-4-6,main
